category,type,design,height,rugosity,fd,logRG,logHeight
surface_design,T1,T1_H12,12,1.938,2.018,0.287,1.079
surface_design,T1,T1_H3,3,1.088,2.018,0.037,0.477
surface_design,T1,T1_H4,4,1.150,2.018,0.061,0.602
surface_design,T1,T1_H6,6,1.310,2.018,0.117,0.778
surface_design,T2,T2_H12,12,3.408,2.254,0.533,1.079
surface_design,T2,T2_H3,3,1.310,2.254,0.117,0.477
surface_design,T2,T2_H4,4,1.502,2.254,0.177,0.602
surface_design,T2,T2_H6,6,1.938,2.254,0.287,0.778
surface_design,T3,T3_H12,12,4.953,2.374,0.695,1.079
surface_design,T3,T3_H3,3,1.605,2.374,0.206,0.477
surface_design,T3,T3_H4,4,1.938,2.374,0.287,0.602
surface_design,T3,T3_H6,6,2.656,2.374,0.424,0.778
surface_design,T4,T4_H12,12,6.522,2.524,0.814,1.079
surface_design,T4,T4_H3,3,1.938,2.524,0.287,0.477
surface_design,T4,T4_H4,4,2.412,2.524,0.382,0.602
surface_design,T4,T4_H6,6,3.408,2.524,0.533,0.778
reef,R1,R1_a1,7.923,2.397,2.308,0.38,0.899
reef,R1,R1_a2,8.397,2.651,2.307,0.423,0.924
reef,R1,R1_a3,7.132,2.569,2.34,0.41,0.853
reef,R1,R1_b1,8.184,2.554,2.315,0.407,0.913
reef,R1,R1_b2,8.017,2.514,2.299,0.4,0.904
reef,R1,R1_b3,6.735,2.386,2.344,0.378,0.828
reef,R1,R1_c1,8.789,2.78,2.272,0.444,0.944
reef,R1,R1_c2,8.433,2.894,2.296,0.461,0.926
reef,R1,R1_c3,7.346,2.413,2.326,0.383,0.866
reef,R14,R14_a1,8.173,2.514,2.302,0.4,0.912
reef,R14,R14_a2,8.346,2.66,2.297,0.425,0.921
reef,R14,R14_b1,8.727,2.42,2.26,0.384,0.941
reef,R14,R14_b2,9.799,2.413,2.222,0.383,0.991
reef,R3,R3_a1,12.012,2.973,2.209,0.473,1.08
reef,R3,R3_a2,8.17,2.804,2.306,0.448,0.912
reef,R3,R3_a3,9.849,2.776,2.262,0.443,0.993
reef,R3,R3_b1,11.527,2.997,2.228,0.477,1.062
reef,R3,R3_b2,10.399,3.061,2.302,0.486,1.017
reef,R3,R3_b3,10.551,3.459,2.269,0.539,1.023
reef,R8,R8_a1,4.766,2.036,2.379,0.309,0.678
reef,R8,R8_a2,6.262,2.091,2.315,0.32,0.797
reef,R8,R8_a3,5.161,1.935,2.326,0.287,0.713
reef,R8,R8_b1,5.144,2.041,2.368,0.31,0.711
reef,R8,R8_b2,4.889,2.122,2.385,0.327,0.689
reef,R8,R8_b3,6.218,2.078,2.336,0.318,0.794
reef,R8,R8_c1,4.579,1.839,2.353,0.265,0.661
reef,R8,R8_c2,4.705,1.978,2.371,0.296,0.673
reef,R8,R8_c3,5.207,2.067,2.362,0.315,0.717
