patch,sample,fd,height
R1,R1_a1,2.307731106,7.923022285
R1,R1_a2,2.307220545,8.396983892
R1,R1_a3,2.339503115,7.131623477
R1,R1_b1,2.315089333,8.183990046
R1,R1_b2,2.29908523,8.016548306
R1,R1_b3,2.344057012,6.734647602
R1,R1_c1,2.271733191,8.788868785
R1,R1_c2,2.295809125,8.432963956
R1,R1_c3,2.32619731,7.345803082
R14,R14_a1,2.301617525,8.172520995
R14,R14_a2,2.297385541,8.345975354
R14,R14_b1,2.260098446,8.727101982
R14,R14_b2,2.221696365,9.799443185
R3,R3_a1,2.209047789,12.01246167
R3,R3_a2,2.306304713,8.169848844
R3,R3_a3,2.262466703,9.849281609
R3,R3_b1,2.228494155,11.52719855
R3,R3_b2,2.30209672,10.39854027
R3,R3_b3,2.268967743,10.55118348
R8,R8_a1,2.379476205,4.766396177
R8,R8_a2,2.314880597,6.261987239
R8,R8_a3,2.325558938,5.161094107
R8,R8_b1,2.368141679,5.143548796
R8,R8_b2,2.384731011,4.888757877
R8,R8_b3,2.335599864,6.217506528
R8,R8_c1,2.352566626,4.579410516
R8,R8_c2,2.37063729,4.704780877
R8,R8_c3,2.361976512,5.206880718
